episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
177, -4628.575491189957, 2, 12.564997447000223, 523, 116267,                                             116267, 0.0, 2934.2109375
178, -10439.246819972992, 2, 31.697368689000086, 1340, 117607,                                             117607, 0.0, 3064.043212890625
179, -4532.953354358673, 2, 8.965085792000082, 371, 117978,                                             117978, 0.0, 2717.16015625
180, -4979.237216234207, 2, 15.395741875000112, 657, 118635,                                             118635, 0.0, 2633.586669921875
181, -6635.208455562592, 2, 22.583184416000222, 960, 119595,                                             119595, 0.0, 2667.660888671875
182, -6530.12906897068, 2, 25.251405663999776, 1063, 120658,                                             120658, 0.0, 2982.209716796875
183, -4544.968224287033, 2, 9.368773460999819, 393, 121051,                                             121051, 0.0, 3204.524169921875
184, -5079.12466275692, 2, 13.98105400500026, 596, 121647,                                             121647, 0.0, 2813.2998046875
185, -6794.5487097501755, 2, 27.261447536000105, 1154, 122801,                                             122801, 0.0, 2659.48388671875
186, -4511.448069095612, 3, 14.986445158999686, 622, 123423,                                             123423, 0.0, 2445.885986328125
187, -14047.397277832031, 2, 34.68900589099985, 1463, 124886,                                             124886, 0.0, 2680.043701171875
188, -5566.58922624588, 2, 14.38807385500013, 607, 125493,                                             125493, 0.0, 2956.625244140625
189, -7892.447802782059, 2, 25.061702545000117, 1052, 126545,                                             126545, 0.0, 2498.0888671875
190, -4779.779393911362, 2, 11.572370604999833, 485, 127030,                                             127030, 0.0, 2322.715087890625
191, -6036.26162981987, 2, 17.556880840000304, 729, 127759,                                             127759, 0.0, 2274.1748046875
192, -5172.380962848663, 2, 13.172788423000384, 551, 128310,                                             128310, 0.0, 2724.650390625
193, -4000.686737537384, 2, 7.557300008000311, 319, 128629,                                             128629, 0.0, 2641.462890625
194, -6079.390057206154, 2, 17.202993172999868, 718, 129347,                                             129347, 0.0, 2745.38134765625
195, -5357.2723026275635, 2, 13.18505383999991, 534, 129881,                                             129881, 0.0, 2284.28173828125
196, -5465.754143476486, 2, 12.960386091000146, 541, 130422,                                             130422, 0.0, 2278.509033203125
197, -3620.7795929908752, 2, 6.15226801200015, 255, 130677,                                             130677, 0.0, 2566.259765625
198, -3132.6809755563736, 2, 6.3329390809999495, 259, 130936,                                             130936, 0.0, 2235.832763671875
199, -6436.983920931816, 2, 18.21194847300012, 767, 131703,                                             131703, 0.0, 2592.967041015625
200, -5295.45065331459, 2, 13.392336113000056, 563, 132266,                                             132266, 0.0, 2262.178466796875
201, -4997.544782996178, 2, 15.357690054000159, 644, 132910,                                             132910, 0.0, 2290.08056640625
202, -5024.893632769585, 2, 15.589049699000043, 656, 133566,                                             133566, 0.0, 2650.15478515625
203, -5891.078339934349, 2, 20.62502974600011, 874, 134440,                                             134440, 0.0, 2416.426025390625
204, -8006.710020244122, 3, 35.50885081300021, 1473, 135913,                                             135913, 0.0, 2536.4892578125
205, -8916.871653795242, 2, 14.376648980000027, 589, 136502,                                             136502, 0.0, 2184.199951171875
206, -4384.7843252420425, 2, 7.749499528000342, 323, 136825,                                             136825, 0.0, 2354.088623046875
207, -3571.7411018013954, 2, 8.342218178999701, 338, 137163,                                             137163, 0.0, 2795.6748046875
208, -11366.501860141754, 2, 40.34358077299976, 1686, 138849,                                             138849, 0.0, 2366.7451171875
209, -10741.363700389862, 2, 25.044762537000224, 1055, 139904,                                             139904, 0.0, 2536.071044921875
210, 1448.9775803089142, 1, 11.963853613000083, 496, 140400,                                             140400, 0.0, 2301.34033203125
